Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
11337,The Bluest Eye,Toni Morrison,"Morrison, Toni",,"=""""","=""""",0,4.12,Plume,Paperback,216,2005,1970,,2023/08/07,to-read,to-read (#42),to-read,,,,0,0
7588,A Portrait of the Artist as a Young Man,James Joyce,"Joyce, James","Seamus Deane, Dámaso Alonso, Antoaneta Ralian, Dana Crăciun","=""0142437344""","=""9780142437346""",0,3.64,Penguin Classics,Paperback,329,2003,1916,,2023/08/07,to-read,to-read (#41),to-read,,,,0,0
29584452,The Underground Railroad,Colson Whitehead,"Whitehead, Colson",,"=""""","=""""",0,4.06,Doubleday,Kindle Edition,322,2016,2016,,2023/08/07,to-read,to-read (#40),to-read,,,,0,0
44492285,"Dune Messiah (Dune, #2)",Frank Herbert,"Herbert, Frank",Brian Herbert,"=""0593098234""","=""9780593098233""",4,3.89,Ace,Mass Market Paperback,336,2019,1969,2023/08/06,2023/08/01,"science-fiction, movie-adaptions","science-fiction (#1), movie-adaptions (#1)",read,,,,1,0
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",0,4.12,Harper,Mass Market Paperback,417,2003,1967,,2023/08/06,to-read,to-read (#39),to-read,,,,0,0
58372556,Mon Mari,Maud Ventura,"Ventura, Maud",,"=""2378802412""","=""9782378802417""",0,3.68,L'Iconolaste,Paperback,351,2021,2021,,2023/08/06,to-read,to-read (#38),to-read,,,,0,0
29633622,Blood of the Dawn,Claudia Salazar Jiménez,"Jiménez, Claudia Salazar",Claudia Salazar Jiménez,"=""194192042X""","=""9781941920428""",0,3.94,Deep Vellum Publishing,Paperback,120,2016,2013,,2023/08/06,to-read,to-read (#37),to-read,,,,0,0
18465930,Last Words from Montmartre,Qiu Miaojin,"Miaojin, Qiu",Ari Larissa Heinrich,"=""1590177258""","=""9781590177259""",0,3.86,NYRB Classics,Paperback,176,2014,1996,,2023/08/06,to-read,to-read (#36),to-read,,,,0,0
8574333,Please Look After Mom,Shin Kyung-Sook,"Kyung-Sook, Shin",Chi-Young Kim,"=""0307593916""","=""9780307593917""",0,3.90,Knopf,Hardcover,237,2011,2008,,2023/08/06,to-read,to-read (#35),to-read,,,,0,0
33376821,Sweet Bean Paste,Durian Sukegawa,"Sukegawa, Durian",Alison  Watts,"=""1786071959""","=""9781786071958""",0,4.07,Oneworld Publications,Paperback,218,2017,2013,,2023/08/06,to-read,to-read (#34),to-read,,,,0,0
